Location,Date,Story,Latitude,Longitude,URL
Bristol ,"Tue, 27 Jan 2015 23:05:26 +0000",Bristol - St Paul’s community centre transferred to ethical investment company,51.453493,-2.5973937,"
		
		http://www.publiclibrariesnews.com/2015/01/a-public-library-news-miscellany.html
		
		
		
				

		
		
				
			
		
		"
Staffordshire ,"Tue, 20 Jan 2015 20:24:55 +0000",Staffordshire - 18 our of 24 libraries to be passed to volunteers will have buildings retained by council due to lack of public interest.,52.8247017,-2.00744916467769,"
		
		http://www.publiclibrariesnews.com/2015/01/trafford-lincs-staffs-cardiff-everywhere-really.html
		
		
		
				

		
		
				
			
		
		"
Milton Keynes ,"Tue, 27 Jan 2015 23:05:26 +0000",Milton Keynes - Kingston Library opened. ,52.0429797,-0.7589607,"
		
		http://www.publiclibrariesnews.com/2015/01/a-public-library-news-miscellany.html
		
		
		
				

		
		
				
			
		
		"
Stoke ,"Tue, 27 Jan 2015 23:05:26 +0000",Stoke - 10 250-book collections including at leisure centres and churches.,53.0162014,-2.1812607,"
		
		http://www.publiclibrariesnews.com/2015/01/a-public-library-news-miscellany.html
		
		
		
				

		
		
				
			
		
		"
Isle of Wight ,"Sun, 18 Jan 2015 20:25:28 +0000","Isle of Wight - £280k cut – 3 libraries to be passed to other councils, Libraries HQ to move into Lord Louis Library.",50.6710482,-1.33271101331995,"
		
		http://www.publiclibrariesnews.com/2015/01/of-reports-and-raspberries.html
		
		
		
				

		
		
				
			
		
		"
Peterborough ,"Sun, 25 Jan 2015 22:50:03 +0000",Peterborough - Vivacity libraries/arts/leisure trust to have £1.5m cut from council. ,52.5738875,-0.2416701,"
		
		http://www.publiclibrariesnews.com/2015/01/damned-if-you-do-damned-if-you-dont-the-dilemma-of-a-good-librarian-in-austere-times.html
		
		
		
				

		
		
				
			
		
		"
Barnsley ,"Thu, 22 Jan 2015 21:22:40 +0000",Barnsley - New central library announced as landmark of £50m town centre redevelopment.,53.5527719,-1.4827755,"
		
		http://www.publiclibrariesnews.com/2015/01/national-libraries-day-all-growed-up.html
		
		
		
				

		
		
				
			
		
		"
Manchester ,"Thu, 22 Jan 2015 21:22:40 +0000",Manchester - Deep drop in numbers of users at seven volunteer-run libraries. ,53.4791466,-2.2447445,"
		
		http://www.publiclibrariesnews.com/2015/01/national-libraries-day-all-growed-up.html
		
		
		
				

		
		
				
			
		
		"
Brent ,"Sun, 18 Jan 2015 20:25:28 +0000",Brent - Considering outsourcing to become a Trust. ,51.5363916,-0.2878064,"
		
		http://www.publiclibrariesnews.com/2015/01/of-reports-and-raspberries.html
		
		
		
				

		
		
				
			
		
		"
Worcestershire ,"Tue, 27 Jan 2015 23:05:26 +0000","Worcestershire - Hagley to be run by volunteers, with building and premises management costs paid for by parish council.",52.2109495,-2.15695541324222,"
		
		http://www.publiclibrariesnews.com/2015/01/a-public-library-news-miscellany.html
		
		
		
				

		
		
				
			
		
		"
Sheffield ,"Sun, 25 Jan 2015 22:50:03 +0000","Sheffield – Business and IP Centre installed in Central Library. Ecclesfield, Frecheville, Gleadless, Greenhill, Jodanthorpe, Newfield Green, Stannington, Totley, Walkley and Upperthorpe now run by volunteers. Broomhill, Park, Southey and Woodhouse libraries staffed by volunteers with council covering costs and some paid support. ",53.3806626,-1.4702278,"
		
		http://www.publiclibrariesnews.com/2015/01/damned-if-you-do-damned-if-you-dont-the-dilemma-of-a-good-librarian-in-austere-times.html
		
		
		
				

		
		
				
			
		
		"
Falkirk ,"Sun, 11 Jan 2015 19:35:53 +0000","Falkirk - School Library Service to close, £325k cut. ",55.997286,-3.7868533,"
		
		http://www.publiclibrariesnews.com/2015/01/in-praise-of-local-libraries-and-school-library-services.html
		
		
		
				

		
		
				
			
		
		"
Hull ,"Tue, 27 Jan 2015 23:05:26 +0000","Hull - Libraries will have reduced hours, including previously threatened Holderness Road.",53.7657076,-0.3370322,"
		
		http://www.publiclibrariesnews.com/2015/01/a-public-library-news-miscellany.html
		
		
		
				

		
		
				
			
		
		"
Nottinghamshire ,"Tue, 13 Jan 2015 18:01:53 +0000","Nottinghamshire - South Scarle becomes first &#34;small library depository&#34; with 300 books, volunteer staffed. ",53.166667,-1,"
		
		http://www.publiclibrariesnews.com/2015/01/welcoming-the-homeless-in.html
		
		
		
				

		
		
				
			
		
		"
Lambeth ,"Sun, 01 Feb 2015 23:16:34 +0000","Lambeth - 5 (Carnegie, Minet, Waterloo Durning and Upper Norwood Joint ) out of 10 libraries considered for closure/move to volunteers due to 50% cuts to overall council budget.",51.5013012,-0.117287,"
		
		http://www.publiclibrariesnews.com/2015/02/should-one-save-all-the-libraries-all-the-time.html
		
		
		
				

		
		
				
			
		
		"
Suffolk ,"Thu, 29 Jan 2015 21:16:03 +0000",Suffolk - Launches book festival.,52.24127925,1.04667452428898,"
		
		http://www.publiclibrariesnews.com/2015/01/news-for-28th-29th-january.html
		
		
		
				

		
		
				
			
		
		"
Shropshire ,"Sun, 25 Jan 2015 22:50:03 +0000",Shropshire - Church Stretton Library to move from current site to one on Shrewsbury Road. ,52.6523129,-2.6437490954116,"
		
		http://www.publiclibrariesnews.com/2015/01/damned-if-you-do-damned-if-you-dont-the-dilemma-of-a-good-librarian-in-austere-times.html
		
		
		
				

		
		
				
			
		
		"
Thurrock ,"Sun, 18 Jan 2015 20:25:28 +0000","Thurrock – £500k cut, may include loss of mobile library service. ",51.5080169,0.396281764543767,"
		
		http://www.publiclibrariesnews.com/2015/01/of-reports-and-raspberries.html
		
		
		
				

		
		
				
			
		
		"
Havering ,"Tue, 27 Jan 2015 23:05:26 +0000","Havering - Library cuts revised: 5 (not 6) out of 10 libraries not be cut, survivors will have hours cut to 24 per week (was 25). ",51.0043613,-2.33747484262951,"
		
		http://www.publiclibrariesnews.com/2015/01/a-public-library-news-miscellany.html
		
		
		
				

		
		
				
			
		
		"
Newcastle ,"Sun, 25 Jan 2015 22:50:03 +0000","Newcastle - Libraries initially planned for closure taken over by various partnerships: Dinnington (taken over by parish council, moved to village hall), Fenham (now run by Your Homes Newcastle), Cruddas Park (now run by Your Homes Newcastle and Newcastle College), Denton (Newcastle College and Dyslexia North East), High Heaton (Newcastle College and Friends group), Jesmond (volunteers). Blakelaw (will close in current location), Newbiggin Hall, and Fawdon may close or be taken over this year.",54.9770924,-1.6142059,"
		
		http://www.publiclibrariesnews.com/2015/01/damned-if-you-do-damned-if-you-dont-the-dilemma-of-a-good-librarian-in-austere-times.html
		
		
		
				

		
		
				
			
		
		"
Nottinghamshire ,"Sun, 18 Jan 2015 20:25:28 +0000",Nottinghamshire – Bingham Library £720k refurbishment inc. moving in of children’s centre,53.166667,-1,"
		
		http://www.publiclibrariesnews.com/2015/01/of-reports-and-raspberries.html
		
		
		
				

		
		
				
			
		
		"
Harrow ,"Sun, 25 Jan 2015 22:50:03 +0000","Harrow - Four libraries may be cut: Bob Lawrence Library (£150,000 per year), North Harrow Library (£115,000 per year), Rayners Lane Library (£115,000 per year) and Hatch End Library (£100,000 per year). ",51.581091,-0.337475,"
		
		http://www.publiclibrariesnews.com/2015/01/damned-if-you-do-damned-if-you-dont-the-dilemma-of-a-good-librarian-in-austere-times.html
		
		
		
				

		
		
				
			
		
		"
Trafford ,"Tue, 20 Jan 2015 20:24:55 +0000","Trafford - 3 libraries to close (Bowfell, Davyhulme and Lostock) in £700k cut.",53.4189014,-2.35946945066462,"
		
		http://www.publiclibrariesnews.com/2015/01/trafford-lincs-staffs-cardiff-everywhere-really.html
		
		
		
				

		
		
				
			
		
		"
Cumbria ,"Tue, 27 Jan 2015 23:05:26 +0000",Cumbria - &#34;Library Link&#34; room opened at Ormsgill Nursery and Primary School.,54.583333,-2.833333,"
		
		http://www.publiclibrariesnews.com/2015/01/a-public-library-news-miscellany.html
		
		
		
				

		
		
				
			
		
		"
Hull ,"Sun, 18 Jan 2015 20:25:28 +0000","Hull - Cuts in opening hours inc. Central Wednesday AM and Friday PM, other branches down to three or four days opening per week.",53.7657076,-0.3370322,"
		
		http://www.publiclibrariesnews.com/2015/01/of-reports-and-raspberries.html
		
		
		
				

		
		
				
			
		
		"
Monmouthshire ,"Sun, 25 Jan 2015 22:50:03 +0000",Monmouthshire – Libraries and one stop shops to merge: £300k cut. ,51.7501058,-2.8333331,"
		
		http://www.publiclibrariesnews.com/2015/01/damned-if-you-do-damned-if-you-dont-the-dilemma-of-a-good-librarian-in-austere-times.html
		
		
		
				

		
		
				
			
		
		"
Coventry ,"Sun, 11 Jan 2015 19:35:53 +0000",Coventry – 17 libraries under threat.  All council services to be transferred into five hubs. ,52.4081812,-1.510477,"
		
		http://www.publiclibrariesnews.com/2015/01/in-praise-of-local-libraries-and-school-library-services.html
		
		
		
				

		
		
				
			
		
		"
